state,State Short,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2013
Alaska,AK,601,607,614,668,731,810,837,850,861,856,1455
Alabama,AL,457,476,501,533,681,793,847,894,905,845,1667
Arkansas,AR,501,494,537,616,721,768,775,802,762,788,1545
Arizona,AZ,418,438,460,543,614,642,635,640,634,628,1227
California,CA,578,592,599,660,753,835,895,937,925,911,1819
Colorado,CO,559,571,595,660,762,811,807,813,826,842,1271
Connecticut,CT,546,571,608,652,714,777,823,878,929,980,1723
District of Columbia,DC,617,635,655,697,806,894,963,1012,1089,926,1574
Delaware,DE,317,329,358,390,442,488,498,530,559,535,1586
Florida,FL,657,666,709,786,810,929,1083,1386,1534,1390,1364
Georgia,GA,448,458,471,517,570,635,672,703,724,749,2155
Hawaii,HI,606,554,553,565,687,726,837,776,850,862,1304
Iowa,IA,347,358,382,450,542,575,594,596,610,612,1028
Idaho,ID,319,326,334,382,433,448,457,477,422,387,969
Illinois,IL,387,410,428,516,610,659,660,674,700,628,1322
